Employee Code,Manager Employee Code,Last Compensation,Last Pay Raise Date,Performance Rating,Engagement Score,Effective Date,End Date
1,,20000,2021-01-01,,,2021-01-01,
1,,,,,,,
1,,,,,,,
1,,,,,,,
1,,,,,,,
1,,,,,,,
2,1.0,20000,2021-01-01,,,2021-01-01,2021-02-28
2,1.0,20000,2021-03-01,,4.0,2021-03-01,2021-05-31
2,1.0,20000,2021-06-01,9.0,4.0,2021-06-01,2021-12-31
2,1.0,20000,2022-01-01,9.0,4.0,2022-01-01,2022-02-28
2,1.0,20000,2022-03-01,9.0,4.0,2022-03-01,2022-05-31
2,1.0,20000,2022-06-01,9.0,4.0,2022-06-01,2022-12-31
3,1.0,20000,2021-01-01,,,2021-01-01,2021-02-28
3,1.0,20000,2021-03-01,,4.0,2021-03-01,2021-05-31
3,1.0,20000,2021-06-01,9.0,4.0,2021-06-01,2021-12-31
3,1.0,20000,2022-01-01,9.0,4.0,2022-01-01,2022-02-28
3,1.0,20000,2022-03-01,9.0,4.0,2022-03-01,2022-05-31
3,1.0,20000,2022-06-01,9.0,4.0,2022-06-01,2022-12-31
